name,amount,unit
" Zitronengras
                                        ",2, Stiel(e)
" Lauchzwiebeln
                                        ",1, Bund
" Cashewkerne
                                        ",100, g
" Glasnudeln
                                        ",250, g
" Fischfond
                                        ",200, ml
" Kokosmilch
                                        ",100, ml
" Costa Pacific Prawns (vorgekocht, ohne Schale)
                                        ",500, g
" Fischsauce
                                        ",2, EL
" Saft einer Limette
                                        ",0,
" Koriander
                                        ",1, Bund
" grüne, entsteinte Oliven
                                        ",150, g
" Chilischoten
                                        ",2,
" glatte Petersilie
                                        ",1, Bund
" Oregano
                                        ",1, Bund
" Knoblauchzehe
                                        ",1,
" rote Zwiebel
                                        ",1,
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Olivenöl
                                        ",100, ml
" Weißweinessig
                                        ",3, EL
" Knoblauchzehen
                                        ",4,
" Lauchzwiebeln
                                        ",4,
" Möhre
                                        ",1,
" Öl
                                        ",3, EL
" Eier
                                        ",5,
" gekochter Reis (z. B. vom Vortag)
                                        ",1, kg
" Salz
                                        ",0,
" Zucker
                                        ",0,
" weißer Pfeffer
                                        ",0,
" Bio-Limetten
                                        ",2,
" Erdbeeren
                                        ",250, g
" Rhabarber
                                        ",2, Stange(n)
" Orangensaft
                                        ",100, ml
" Vanille
                                        ","0,50", Schote(n)
" ja! Raffinade Zucker
                                        ",3, EL
" griechischer Joghurt
                                        ",150, g
" rote Zwiebel
                                        ","0,50", kleine
" Bacon
                                        ",100, g
" Olivenöl
                                        ",2, TL
" Hackfleisch
                                        ",125, g
" Pasta-Sauce Arrabbiata
                                        ",60, ml
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Quiche- oder Tarteteig (herzhafter Mürbeteig)
                                        ",2, Packung(en)
" geriebener Mozzarella
                                        ",100, g
" Ei
                                        ",1,
" Butter
                                        ",220, g
" Zucker
                                        ",300, g
" Vanillezucker
                                        ",1, Päckchen
" Eier
                                        ",3,
" Backpulver
                                        ","0,50", TL
" Salz
                                        ","0,50", TL
" Mehl
                                        ",480, g
" Zitronensaft
                                        ","0,50", TL
" Puderzucker
                                        ",230, g
" Blaue Streusel
                                        ",0,
" Foodmarker schwarz
                                        ",0,
" Foodmarker rosa
                                        ",0,
" getrocknete Datteln
                                        ",50, g
" getrocknete Mangos
                                        ",50, g
" getrocknete Aprikosen
                                        ",50, g
" Haferflocken
                                        ",250, g
" Amaranth gepufft
                                        ",50, g
" Leinsamen
                                        ",30, g
" Kokoschips
                                        ",50, g
" ganze Mandeln
                                        ",50, g
" Rapsöl
                                        ",1, EL
" Bananenchips
                                        ",50, g
" Süßkartoffeln
                                        ",2,
" Olivenöl
                                        ",2, EL
" Ras el-Hanout
                                        ",0,
" Gurke
                                        ","0,50",
" Knoblauch
                                        ",1, Zehe(n)
" Naturjoghurt
                                        ",200, g
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Kreuzkümmel
                                        ",0,
" Jasminreis
                                        ",250, g
" Hähnchenbrust
                                        ",700, g
" Sojasoße
                                        ",60, ml
" angerührte Maisstärke
                                        ",60, ml
" Wasser
                                        ",2, EL
" frisch gepresster Orangensaft
                                        ",180, ml
" brauner Zucker
                                        ",2, EL
" Maisstärke
                                        ",1, EL
" Sojasoße
                                        ",1, EL
" Hoisinsoße
                                        ",1, EL
" Reisessig
                                        ",2, TL
" Orangenschale
                                        ",1, TL
" neutrales Pflanzenöl
                                        ",2, EL
" Frühlingszwiebel
                                        ",1,
" Sesam
                                        ",2, TL
" weißer Rum
                                        ",4, cl
" Ananassaft
                                        ",10, cl
" Cream of Coconut
                                        ",4, cl
" Schlagsahne
                                        ",2, cl
" Eiswürfel
                                        ",4,
" Ube Wurzel
                                        ",100, g
" Zucker
                                        ",220, g
" Öl
                                        ",20, ml
" Milch
                                        ",300, ml
" Mehl
                                        ",400, g
" Backpulver
                                        ",1, Päckchen
" Vanillezucker
                                        ",2, Päckchen
" Salz
                                        ",1, Prise(n)
" Butter
                                        ",150, g
" Eier
                                        ",2,
" Puderzucker
                                        ",3, EL
" Zitronengras
                                        ",3, Stange(n)
" Galgant
                                        ",1, Stück
" rote Chilischoten
                                        ",2, kleine
" Tofu natur
                                        ",350, g
" Champignons
                                        ",200, g
" Zuckerschoten
                                        ",125, g
" Bambussprossen (Glas)
                                        ",100, g
" Kokosmilch
                                        ",600, ml
" Gemüsebrühe
                                        ",400, ml
" Kaffirlimettenblätter
                                        ",5, Stück
" Limette
                                        ",1,
" Koriander
                                        ","0,25", Bund
" Rohrzucker
                                        ",1, TL
" Sojasoße
                                        ",0, etwas
" Kartoffeln
                                        ",4, große
" Olivenöl
                                        ",1, EL
" Salz 
                                        ",0,
" Pfeffer
                                        ",0,
" Möhren
                                        ",2, große
" Pastinake
                                        ",1,
" Schalotten
                                        ",250, g
" Zitronensaft
                                        ",1, EL
" Joghurt
                                        ",500, g
" Schnittlauch
                                        ",1, Bund
" Petersilie
                                        ","0,50", Bund
" Kresse
                                        ",1, Beet(e)
" süßer Senf
                                        ",1, TL
" Sonnenblumenöl
                                        ",2, EL
" Zucker
                                        ",1, TL
" Kartoffeln
                                        ",8, große
" Eier
                                        ",2,
" milde bis mittelscharfe Chilis
                                        ",200, g
" Öl
                                        ",5, TL
" Zitronen
                                        ",3,
" Salz
                                        ",0,
" Flusskrebsschwänze
                                        ",200, g
" Mayonnaise
                                        ",170, g
" Avocado
                                        ",1,
" Paprika rosenscharf
                                        ",1, TL
" Paprika edelsüß
                                        ",1, TL
" Knoblauchzehe
                                        ",1,
" frischer Rosmarin
                                        ",1, Zweig(e)
" Worcester-Soße
                                        ","1,50", EL
" Pfeffer
                                        ",1, Prise(n)
" Butter
                                        ",180, g
" Mehl
                                        ",250, g
" Eigelb
                                        ",1,
" Salz
                                        ",1, TL
" Zucker
                                        ",1, TL
" getrocknete Aprikosen
                                        ",150, g
" getrocknete Datteln
                                        ",100, g
" Rosinen
                                        ",50, g
" Wasser
                                        ",200, ml
" gemahlener Piment
                                        ",1, TL
" Zimt
                                        ",1, Prise(n)
" gehackte Walnüsse
                                        ",100, g
" Rum
                                        ",5, EL
" getrocknete Tomaten in Öl (280 g)
                                        ",1, Glas
" Couscous (instant)
                                        ",150, g
" Mini-Mozzarella
                                        ",255, g
" Basilikum
                                        ",15, g
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" dunkler Balsamico-Essig
                                        ",2, EL
" REWE Bio Quinoa Tricolore
                                        ",400, g
" Cashewkerne
                                        ",100, g
" Granatapfel
                                        ",1,
" Minze
                                        ",5, Stiel(e)
" Tahini
                                        ",2, EL
" Öl
                                        ",4, EL
" Zitrone
                                        ",1,
" Granatapfelsirup
                                        ",4, TL
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" REWE Bio Feta
                                        ",125, g
" Weißkohl
                                        ",1,
" Möhre
                                        ",1,
" Zwiebel
                                        ",1,
" Selleriesamen
                                        ",1, TL
" Zitrone
                                        ","0,50",
" Mayonnaise
                                        ",175, g
" Schlagsahne
                                        ",100, g
" Weißweinessig
                                        ",2, EL
" Zucker
                                        ",4, EL
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" große Tomaten
                                        ",4,
" Knoblauch
                                        ",1, Zehe(n)
" Basilikum
                                        ",1, Handvoll
" Mozzarella
                                        ",1,
" Toastbrot
                                        ",2, Scheibe(n)
" Olivenöl
                                        ",2, EL
" Balsamico
                                        ",2, EL
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Eier
                                        ",9,
" Salz
                                        ",0,
" Zucker
                                        ",300, g
" Mehl
                                        ",250, g
" Backpulver
                                        ",2, TL
" Backkakao
                                        ",4, EL
" Gelatine
                                        ",10, Blatt
" Kirschen
                                        ",1, Glas
" Mascarpone
                                        ",500, g
" Vollmilchjoghurt
                                        ",200, g
" Sahne
                                        ",300, ml
" Schokoladenraspeln
                                        ",100, g
" Aprikosenmarmelade
                                        ",3, EL
" Krokantstreusel
                                        ",1, EL
" Zartbitterschokolade
                                        ",200, g
" Milch
                                        ",75, ml
" Erdnussbutter
                                        ",2, EL
" Sahne
                                        ",300, g
" Erdnüsse
                                        ",2, EL
" Himbeeren
                                        ",150, g
" Knoblauchzehe
                                        ",1,
" Naturjoghurt 
                                        ",500, g
" Salatgurken
                                        ",2,
" Minze
                                        ","0,25", Bund
" Feta
                                        ",200, g
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Weißweinessig
                                        ",3, EL
" Olivenöl
                                        ",2, EL
" Senf
                                        ","0,50", TL
" Zucker
                                        ","0,50", TL
" Wilhelm Brandenburg Schweine Nackensteak in Paprikamarinade (à 2 Stück)
                                        ",2, Packung(en)
" Eier
                                        ",4,
" Puderzucker
                                        ",50, g
" Mehl
                                        ",85, g
" Butter
                                        ",30, g
" rote Lebensmittelfarbe
                                        ",1, Msp.
" Zucker
                                        ",100, g
" Speisestärke
                                        ",25, g
" Gelatine
                                        ",3, Blatt
" Joghurt
                                        ",100, g
" Sahne
                                        ",200, ml
" Himbeeren
                                        ",150, g
" Mikado Keks-Sticks
                                        ",20,
" Ananas (Dose)
                                        ",150, g
" Butter
                                        ",100, g
" Zucker
                                        ",100, g
" Vanillezucker
                                        ",2, TL
" Salz
                                        ",1, Msp.
" Eier
                                        ",2,
" Kokosmilch
                                        ",120, ml
" Mehl
                                        ",160, g
" Backpulver
                                        ","1,50", TL
" Kokosflocken
                                        ",2, EL
" Puderzucker
                                        ",3, EL
" Ananassaft
                                        ","1,50", EL
" Lebensmittelfarbe, gelb
                                        ",0,
" Frischkäse
                                        ",400, g
" Lebensmittelfarbe, grün
                                        ",0,
" Wasser
                                        ",4, EL
" Kokoschips
                                        ",0,
" REWE Feine Welt Italiens Backkunst Ciabatta
                                        ",1,
" Honigmelone
                                        ","0,25",
" Knoblauch
                                        ",1, Zehe(n)
" Olivenöl
                                        ",5, EL
" Thymian
                                        ",1, Zweig(e)
" Parmaschinken
                                        ",80, g
" REWE Feine Welt Aceto Balsamico di Modena I.G.P. 
                                        ",2, TL
" festkochende Kartoffeln
                                        ",1, kg
" Gemüsebrühe
                                        ",200, ml
" Senf
                                        ",2, EL
" Weißweinessig
                                        ",5, EL
" Sonnenblumenöl
                                        ",3, EL
" rote Zwiebeln
                                        ",2,
" Schnittlauch
                                        ","0,50", Bund
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Wilhelm Brandenburg Schweine-Spießbraten-Nacken (1 kg)
                                        ",0,
" Kartoffeln
                                        ",800, g
" Schweinebauch
                                        ",150, g
" Porree
                                        ",1,
" Butter
                                        ",50, g
" Milch
                                        ",200, ml
" Eier
                                        ",2,
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Piment
                                        ","0,50", TL
" Heringsfilets (frisch)
                                        ",10,
" Semmelbrösel
                                        ",1, EL
" rosa Pfeffer
                                        ",0,
" Himbeeren
                                        ",600, g
" Zucker
                                        ",150, g
" Agar Agar
                                        ","1,50", TL
" Rhabarber-Nektar
                                        ",450, ml
" weißer Spargel
                                        ","1,50", kg
" Zucker
                                        ",0,
" dünne Kalbsschnitzel
                                        ",4,
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" REWE Bio Eier
                                        ",2,
" REWE Bio Mehl
                                        ",100, g
" Paniermehl
                                        ",100, g
" Butterschmalz
                                        ",50, g
" Butter
                                        ",40, g
" REWE Bio Schlagsahne
                                        ",100, ml
" Schnittlauch
                                        ",1, Päckchen
" unbehandelte Zitrone
                                        ",0,
" Maiskolben
                                        ",2,
" Steak
                                        ",2,
" Knoblauchzehen
                                        ",3,
" rote Chilischoten
                                        ",2,
" Petersilie
                                        ",1, Bund
" Olivenöl
                                        ",2, TL
" Rotweinessig
                                        ",2, TL
" getrockneter Oregano
                                        ",1, TL
" Meersalz
                                        ",1, TL
" Pfeffer
                                        ",0,
" Öl
                                        ",1, EL
" Himbeeren (frisch oder TK)
                                        ",500, g
" Mehl
                                        ",250, g
" Backpulver
                                        ","1,50", TL
" Salz
                                        ",1, Prise(n)
" Margarine
                                        ",140, g
" Zucker
                                        ",160, g
" Eier
                                        ",2,
" Vanillezucker
                                        ",1, Packung(en)
" Milch
                                        ",250, ml
" Schlagsahne
                                        ",400, g
" Sahnesteif
                                        ",1, Packung(en)
" Puderzucker
                                        ",2, EL
" Kartoffeln
                                        ",700, g
" Salz
                                        ",4, TL
" Trockenbackhefe
                                        ",1, EL
" REWE Bio Natives Olivenöl extra
                                        ",2, EL
" REWE Bio Weizen-Vollkornmehl
                                        ",260, g
" REWE Beste Wahl Weizenmehl Mehl Type 405
                                        ",400, g
" Rucola
                                        ",250, g
" Kirschtomaten
                                        ",300, g
" Birne
                                        ",1,
" Zitronensaft
                                        ",0,
" Pinienkerne
                                        ",2, EL
" Senf
                                        ",1, EL
" Aceto Balsamico
                                        ",5, EL
" Olivenöl
                                        ",5, EL
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Rotbarschfilet
                                        ",500, g
" Mehl
                                        ",2, EL
" Öl zum Braten
                                        ",0, etwas
" gelbe Zwiebeln
                                        ",2,
" rote Zwiebel
                                        ",1,
" Apfelessig
                                        ",8, EL
" Öl
                                        ",4, EL
" Apfelwein
                                        ",5, EL
" Pfeffer
                                        ",1, Prise(n)
" Kümmel ganz
                                        ","0,50", TL
" Handkäse bzw. Harzer Rolle
                                        ",8, Stück
" Schnittlauch
                                        ","0,50", Bund
" Bauernbrot
                                        ",4, Scheibe(n)
" Butter
                                        ",1, TL
" reife Mango
                                        ",1,
" Lupinen-Joghurt
                                        ",300, g
" Wasser
                                        ",150, ml
" Agavendicksaft
                                        ",1, EL
" Möhren
                                        ",400, g
" ja! Haselnusskerne ganz
                                        ",100, g
" REWE Bio Eier
                                        ",3,
" Salz
                                        ",1, Prise(n)
" ja! Zucker
                                        ",150, g
" REWE Bio Rapsöl
                                        ",100, ml
" REWE Bio Weizenmehl Type 550
                                        ",200, g
" Backpulver
                                        ",3, TL
" ja! Mandeln gemahlen
                                        ",100, g
" Zimt
                                        ","0,50", TL
" REWE Bio Frischkäse Doppelrahmstufe
                                        ",300, g
" Puderzucker
                                        ",100, g
" Zitrone
                                        ",1,
" Zuckerstreusel
                                        ",3, EL
" Pistazien gehackt
                                        ",3, EL
" Zucchini
                                        ",2,
" Aubergine
                                        ",1,
" rote Paprika
                                        ",1,
" gelbe Paprika
                                        ",1,
" Knoblauchzehen
                                        ",2,
" Olivenöl
                                        ",6, EL
" Zitrone
                                        ",1,
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Wilhelm Brandenburg Hähnchen-Grillfackel (400 g)
                                        ",1, Packung(en)
" Kartoffel, mehlig kochend
                                        ",1, kg
" Pfifferlinge
                                        ",400, g
" REWE Bio Schalotten
                                        ",2,
" Butter
                                        ",0, etwas
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Brühe
                                        ",120, ml
" REWE Bio Schlagsahne
                                        ",200, ml
" Schnittlauch
                                        ","0,50", Bund
" REWE Bio Süßrahmbutter
                                        ",50, g
" REWE Beste Wahl Frische Eier aus Freilandhaltung 
                                        ",3,
" Speisestärke
                                        ",70, g
" REWE Bio Muskatnuss
                                        ",0,
" Tortelloni mit Frischkäse-Kräuter-Füllung (z. B. von REWE Bio)
                                        ",250, g
" grüner Spargel
                                        ",200, g
" neutrales Öl
                                        ",1, EL
" Pinienkerne (z. B. von REWE Bio)
                                        ",60, g
" Rucola
                                        ",60, g
" Chili
                                        ",1,
" Limette
                                        ",1,
" Olivenöl
                                        ",2, EL
" Aceto Balsamico
                                        ",2, EL
" Honig
                                        ",2, EL
" Senf
                                        ",1, TL
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Cantaloupe-Melonen
                                        ",2,
" Bio-Limetten
                                        ",2,
" ja! Puderzucker
                                        ",1, EL
" trockener Weißwein
                                        ","0,50", l
" Eiswürfel
                                        ",0,
" Minze
                                        ",3, Stiel(e)
" Sonnenblumenöl
                                        ",3, EL
" Popcorn-Mais
                                        ",75, g
" brauner Zucker
                                        ",100, g
" Zuckerrübensirup
                                        ",2, EL
" Butter
                                        ",40, g
" Bier (z. B. Dunkelbier, Stout, IPA, etc.)
                                        ",125, ml
" grobes Meersalz
                                        ",1, TL
" Mehl
                                        ",375, g
" Backpulver
                                        ",1, Päckchen
" Salz
                                        ",1, Prise(n)
" Zucker
                                        ",180, g
" Schlagsahne
                                        ",400, g
" Eier (Größe M)
                                        ",4,
" Quark (Magerstufe)
                                        ",250, g
" Mascarpone
                                        ",500, g
" Puderzucker
                                        ",50, g
" Bio-Zitrone
                                        ",1,
" Kiwis
                                        ",2,
" Blaubeeren
                                        ",1, Packung(en)
" Bananen
                                        ",2,
" Himbeeren
                                        ",2, Packung(en)
" Mandarinen
                                        ",1, Dose(n)
" Grüner Spargel
                                        ",500, g
" Kernschinken
                                        ",160, g
" Rapsöl
                                        ",2, EL
" Salz
                                        ",1, Prise(n)
" Honig
                                        ",2, TL
" REWE-BIO Petersilie
                                        ",3, EL
" rote Zwiebel
                                        ",1,
" Knoblauchzehen
                                        ",2,
" Öl
                                        ",1, EL
" Rinderhack
                                        ",500, g
" scharfe Paprikapaste (z. B. Ajvar)
                                        ",2, EL
" Tomatenmark
                                        ",1, EL
" gehackte Tomaten (400 g)
                                        ",1, Dose(n)
" gemahlener Kreuzkümmel
                                        ",2, TL
" gemahlene Koriandersaat
                                        ",2, TL
" Worcestershire Sauce
                                        ",0,
" Rinder- oder Gemüsebrühe
                                        ",80, ml
" Kartoffeln
                                        ",1, kg
" Öl zum Frittieren
                                        ",0,
" Salz
                                        ",0,
" Pommes-Frites Gewürz
                                        ",0,
" Kidneybohnen (400 g)
                                        ",1, Dose(n)
" geriebener Cheddar
                                        ",150, g
" Koriander 
                                        ","0,50", Bund
" Limette
                                        ",1,
" Saure Sahne
                                        ",150, g
" stückige Tomaten mit Kräutern
                                        ",2, Dose(n)
" Hähnchenbrüste
                                        ",4, kleine
" grüne und schwarze Oliven
                                        ",100, g
" Baguette zum Aufbacken (300 g)
                                        ",1,
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Olivenöl
                                        ",4, EL
" Hähnchenbrustfilet
                                        ",4, Stück
" Zwiebel
                                        ",1,
" Knoblauch
                                        ",1, Zehe(n)
" frische Petersilie
                                        ","0,50", Bund
" Brokkoli
                                        ",600, g
" Rapsöl
                                        ",2, EL
" Brühe 
                                        ",200, ml
" Sahne 
                                        ",100, ml
" Sahneschmelzkäse
                                        ",200, g
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Gratinkäse
                                        ",100, g
" Cream Cookies
                                        ",36,
" Frischkäse
                                        ",225, g
" weiße Kuvertüre
                                        ",350, g
" dunkle Kuvertüre
                                        ",100, g
" Sauerkirschen
                                        ",1, Glas
" Zucker
                                        ",100, g
" Zimt
                                        ",0, etwas
" Speisestärke
                                        ",1, EL
" Sahne
                                        ",750, ml
" Wiener Boden
                                        ",1, Packung(en)
" Schokoladenraspeln
                                        ",150, g
" Möhre
                                        ",1,
" Lauch
                                        ",1, Stange(n)
" Zwiebel
                                        ",1,
" Suppenhuhn
                                        ",1,
" Lorbeer
                                        ",1, Blatt
" Nelken
                                        ",3,
" Wacholderbeeren
                                        ",3,
" REWE Bio Eier
                                        ",2,
" Milch
                                        ",125, ml
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Muskat
                                        ",0,
" grüner Spargel
                                        ",500, g
" ja! junge Erbsen (TK)
                                        ",100, g
" Petersilie
                                        ",0,
" Datteln
                                        ",200, g
" Erdnüsse
                                        ",100, g
" REWE Bio Erdnussbutter
                                        ","1,50", EL
" REWE Bio Haferflocken
                                        ",35, g
" Haselnüsse
                                        ",20, g
" Kakaopulver
                                        ",3, EL
" Salz
                                        ",1, Prise(n)
" Vanille
                                        ","0,50", Schote(n)
" Weizenmehl Type 1050
                                        ",300, g
" Fleur de Sel
                                        ","1,50", TL
" Butter
                                        ",40, g
" Olivenöl
                                        ",50, ml
" getrocknete Kräuter (z. B. Rosmarin, Oregano, Basilikum)
                                        ",1, TL
" reife Tomaten
                                        ",400, g
" Knoblauchzehen
                                        ",2,
" Chilischoten
                                        ",2,
" Olivenöl
                                        ",40, ml
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" glatte Petersilie
                                        ",1, Handvoll
" kleines Stück Pecorino
                                        ",1,
" Penne Rigate
                                        ",320, g
" Maisblätter
                                        ",10,
" Hähnchenbrustfilet (ca. 320 g)
                                        ",1,
" Chilis
                                        ",3,
" Tomaten
                                        ",500, g
" Zwiebel
                                        ",1,
" Hühnerbrühe
                                        ",350, ml
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Schweineschmalz
                                        ",250, g
" Maismehl
                                        ",500, g
" Backpulver
                                        ",1, TL
" TK-Spinat
                                        ",250, g
" Kartoffeln
                                        ",300, g
" Möhren
                                        ",200, g
" Blumenkohl
                                        ","0,50",
" Salz
                                        ",0,
" Quinoa
                                        ",200, g
" Feta
                                        ",200, g
" Ei
                                        ",1,
" Pankomehl
                                        ",10, EL
" Pfeffer
                                        ",0,
" Öl
                                        ",3, EL
" Milch
                                        ",100, ml
" Butter
                                        ",1, EL
" Muskat
                                        ",0,
" Bananen
                                        ",4,
" Weiße Kuvertüre
                                        ",200, g
" Zartbitter Kuvertüre
                                        ",50, g
" altbackenes Brötchen
                                        ",1,
" Petersilie
                                        ","0,50", Bund
" Feta
                                        ",150, g
" Zwiebel
                                        ",1,
" Olivenöl
                                        ",3, EL
" Rinderhackfleisch
                                        ",300, g
" Eier
                                        ",2,
" Oregano
                                        ",1, Prise(n)
" gemahlener Kreuzkümmel
                                        ",1, Prise(n)
" Piment
                                        ",1, Prise(n)
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Zwiebel
                                        ",1,
" Brokkoli
                                        ",1,
" Cocktailtomaten
                                        ",250, g
" Salz
                                        ",0,
" Tortellini
                                        ",500, g
" Speck
                                        ",70, g
" Rapsöl
                                        ",1, EL
" Sahne
                                        ",200, ml
" Speisestärke
                                        ",1, TL
" Pfeffer
                                        ",0,
" Schnittlauch
                                        ","0,50", Bund
" Eiswürfel
                                        ",0,
" Rum
                                        ",5, cl
" Limettensaft
                                        ",1, cl
" Bio-Limette
                                        ",1,
" Cola
                                        ",12, cl
" Kartoffeln
                                        ",300, g
" TK-Erbsen
                                        ",4, EL
" Mehl
                                        ",250, g
" Salz
                                        ",1, TL
" Öl
                                        ",5, EL
" Wasser
                                        ",270, ml
" Zwiebel
                                        ","0,50",
" grüne Chilischote
                                        ",1,
" Knoblauchzehe
                                        ",1,
" Ingwer (2 cm)
                                        ",0,
" Garam Masala
                                        ",3, TL
" Kreuzkümmel
                                        ",1, TL
" gemahlener Koriander
                                        ",1, TL
" Kurkuma
                                        ",1, Msp.
" Frittierfett
                                        ",1, l
" Milch
                                        ",500, ml
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Muskat
                                        ",0,
" Polenta
                                        ",150, g
" Fjordforellen-Filet
                                        ",4, Stück
" Öl
                                        ",1, EL
" Butter
                                        ",5, EL
" Schnittlauch
                                        ","0,50", Bund
" Petersilie (glatt)
                                        ","0,50", Bund
" REWE Beste Wahl TK-Himbeeren
                                        ",100, g
" REWE Beste Wahl Joghurt mild Vanille (250 g)
                                        ",1, Becher
" sehr reife Bananen
                                        ",4,
" Sonnenblumenöl
                                        ",100, ml
" Mandeldrink
                                        ",120, ml
" Rohrzucker
                                        ",80, g
" Mehl
                                        ",150, g
" Dinkelvollkornmehl
                                        ",100, g
" gemahlene Mandeln
                                        ",100, g
" Backpulver
                                        ",2, TL
" Salz
                                        ",1, Prise(n)
" Vanillezucker
                                        ",1, Päckchen
" Zimt
                                        ",1, TL
" Fett für die Form
                                        ",0,
" Kartoffeln
                                        ",1050, g
" REWE Beste Wahl Frische Eier aus Freilandhaltung
                                        ",2,
" ja! Weizenmehl Type 405
                                        ",2, EL
" REWE Beste Wahl Speisequark Magerstufe
                                        ","4,50", EL
" Aprikosen
                                        ",300, g
" ja! Puderzucker
                                        ",150, g
" Butter
                                        ",30, g
" frisch gepresster Orangensaft
                                        ",80, ml
" Vanille
                                        ","0,50", Schote(n)
" Pflanzenöl
                                        ",0,
" kernige Haferflocken
                                        ",6, EL
" Mandelstifte
                                        ",1, EL
" Raspelschokolade
                                        ",1, TL
" Milch
                                        ",100, ml
" Skyr
                                        ",8, EL
" Honig
                                        ",1, TL
" Blaubeeren
                                        ",50, g
" REWE Bio Haferdrink
                                        ",500, ml
" REWE Bio Haferflocken
                                        ",100, g
" Backkakao
                                        ",7, EL
" Salz
                                        ",1, Prise(n)
" Kokoschips
                                        ",2, EL
" Öl
                                        ",1, EL
" Banane
                                        ",1,
" Honig
                                        ",2, EL
" kleine Orange
                                        ",1,
" Zartbitterschokolade
                                        ",40, g
" ja! Soft-Datteln
                                        ",4,
" gefrorene Himbeeren
                                        ",100, g
" Paprika
                                        ",2, Schote(n)
" Champignons
                                        ",200, g
" Zwiebel
                                        ",1,
" Knoblauch
                                        ",1, Zehe(n)
" Schweineschnitzel
                                        ",4,
" Sonnenblumenöl
                                        ",2, EL
" Gewürzmischung Gyros
                                        ",2, EL
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Tomatenmark
                                        ",2, EL
" Brühe
                                        ",300, ml
" Sahne 
                                        ",200, ml
" Gouda
                                        ",200, g
" Portobello Pilze
                                        ",4, große
" Paprika Mix
                                        ",1,
" rote Zwiebel
                                        ",1,
" Knoblauch
                                        ",1, Zehe(n)
" Chilipulver
                                        ",1, TL
" Kreuzkümmel
                                        ",1, TL
" Salsa de Chipotle
                                        ",3, EL
" Gemüsebrühe
                                        ",50, ml
" Limettensaft
                                        ",2, EL
" Pfeffer
                                        ",0,
" Salz
                                        ",0,
" Rapsöl
                                        ",1, EL
" Koriander
                                        ","0,50", Bund
" Limette
                                        ",1,
" Tortillas (Maismehl)
                                        ",6,
" vegane(r) Quark / Sour Cream
                                        ",1, Becher
" Eier
                                        ",8,
" Milch
                                        ",100, ml
" Kräuterfrischkäse
                                        ",50, g
" Schalotte
                                        ",1,
" grüne Paprika
                                        ",1, Schote(n)
" getrocknete Tomaten (ohne Öl)
                                        ",2,
" Salz
                                        ",0,
" Pfeffer
                                        ",0,
" Paprikapulver edelsüß
                                        ",0,
" Schnittlauch
                                        ",0,
" Mehl
                                        ",250, g
" feiner Zucker
                                        ",120, g
" Salz
                                        ",1, Prise(n)
" Eier
                                        ",4,
" Milch
                                        ",500, ml
" Bio-Orange
                                        ",1,
" Butter
                                        ",25, g
" Butter für die Pfanne
                                        ",0,
" Öl für die Pfanne
                                        ",0,
" Cointreau (Orangenlikör)
                                        ",2, EL
